"SOLUCION [10.0, 0.0]"
"k = fase";"1";"2";"3";"4";"5";"6";"7";"8";"Cio";"PHIio"
"q17m int#1";"[287.6153846153846]";"[698.3076923076925]";"[92.99999999999999]";"[419.6923076923076]";"[174.69230769230768]";"[1149.0]";"[104.53846153846153]";"[373.0769230769229]"
"q27m int#2";"[230.53846153846155]";"[833.3076923076922]";"[88.69230769230766]";"[398.15384615384625]";"[208.38461538461544]";"[921.0000000000002]";"[99.3076923076923]";"[353.8461538461537]"
"q37m int#3";"[189.00000000000003]";"[1022.9999999999999]";"[90.23076923076927]";"[404.0000000000001]";"[256.2307692307692]";"[756.0000000000001]";"[100.38461538461542]";"[404.0000000000001]"
""
""
"k = fase";"1";"2";"3";"4";"5";"6";"7";"8";"Cio";"PHIio"
"m = movimiento";"WBL";"EBT";"NBL";"SBT";"EBL";"WBT";"SBL";"NBT"
"g18m int#1";"[17.0]";"[27.0]";"[5.0]";"[24.0]";"[17.0]";"[27.0]";"[5.0]";"[24.0]";"[65.05122558016038]";"[24.049176556953963]"
"g28m int#2";"[16.0]";"[24.0]";"[6.0]";"[27.0]";"[16.0]";"[24.0]";"[6.0]";"[27.0]";"[65.05122558016038]";"[24.049176556953963]"
"g38m int#3";"[16.0]";"[25.0]";"[6.0]";"[26.0]";"[16.0]";"[25.0]";"[6.0]";"[26.0]";"[65.05122558016038]";"[24.049176556953963]"
"X18m int#1";"[0.6493980517179904]";"[0.3480391519237038]";"[0.705640413072926]";"[0.6517401886381905]";"[0.38980513014775137]";"[0.5795080339427663]";"[0.8045883876624792]";"[0.571057241104098]"
"X28m int#2";"[0.5523417295838259]";"[0.46651789780551195]";"[0.5592916468466633]";"[0.5483853708870692]";"[0.49297294483009435]";"[0.5221005193303112]";"[0.6351517606986541]";"[0.48021760003318237]"
"X38m int#3";"[0.4525102909354377]";"[0.5491997637675595]";"[0.5682440826428614]";"[0.5765350084048573]";"[0.6058796515492446]";"[0.41098709767221]";"[0.6408059306752002]";"[0.5765350084048573]"
"S18m int#1";"[1770]";"[4989]";"[1770]";"[1827]";"[1770]";"[4989]";"[1770]";"[1827]"
"S28m int#2";"[1770]";"[4989]";"[1770]";"[1827]";"[1770]";"[4989]";"[1770]";"[1827]"
"S38m int#3";"[1770]";"[4989]";"[1770]";"[1827]";"[1770]";"[4989]";"[1770]";"[1827]"
"q18m int#1";"[300.38461538461536]";"[720.692307692308]";"[95.99999999999999]";"[439.30769230769226]";"[180.3076923076923]";"[1200.0]";"[109.46153846153847]";"[384.92307692307674]"
"q28m int#2";"[240.46153846153848]";"[858.6923076923075]";"[91.30769230769228]";"[415.8461538461539]";"[214.6153846153847]";"[961.0000000000003]";"[103.6923076923077]";"[364.15384615384596]"
"q38m int#3";"[197.00000000000003]";"[1052.9999999999998]";"[92.7692307692308]";"[421.00000000000017]";"[263.7692307692308]";"[788.0000000000001]";"[104.61538461538464]";"[421.00000000000017]"
""
""
"k = fase";"1";"2";"3";"4";"5";"6";"7";"8";"Cio";"PHIio"
"m = movimiento";"WBL";"EBT";"NBL";"SBT";"EBL";"WBT";"SBL";"NBT"
"g19m int#1";"[17.0]";"[27.0]";"[5.0]";"[24.0]";"[17.0]";"[27.0]";"[5.0]";"[24.0]";"[65.19471811449527]";"[24.186929389915466]"
"g29m int#2";"[16.0]";"[24.0]";"[6.0]";"[27.0]";"[16.0]";"[24.0]";"[6.0]";"[27.0]";"[65.19471811449527]";"[24.186929389915466]"
"g39m int#3";"[16.0]";"[25.0]";"[6.0]";"[26.0]";"[16.0]";"[25.0]";"[6.0]";"[26.0]";"[65.19471811449527]";"[24.186929389915466]"
"X19m int#1";"[0.6784970663499507]";"[0.359640769228499]";"[0.7292968467045233]";"[0.6823426527147607]";"[0.4028315915912136]";"[0.6054697546545629]";"[0.8426296900152497]";"[0.5899301714218462]"
"X29m int#2";"[0.5764037577756468]";"[0.48136855909275666]";"[0.5765808403433196]";"[0.5729777167952311]";"[0.5084040517892112]";"[0.5450316766269944]";"[0.6634693535482099]";"[0.4948998448117784]"
"X39m int#3";"[0.4719250428485711]";"[0.5660924411144388]";"[0.5850808035916245]";"[0.6011386159350962]";"[0.6245702161827055]";"[0.4286203155252446]";"[0.6681915553528237]";"[0.6011386159350962]"
"S19m int#1";"[1770]";"[4989]";"[1770]";"[1827]";"[1770]";"[4989]";"[1770]";"[1827]"
"S29m int#2";"[1770]";"[4989]";"[1770]";"[1827]";"[1770]";"[4989]";"[1770]";"[1827]"
"S39m int#3";"[1770]";"[4989]";"[1770]";"[1827]";"[1770]";"[4989]";"[1770]";"[1827]"
"q19m int#1";"[313.15384615384613]";"[743.0769230769233]";"[98.99999999999999]";"[458.92307692307685]";"[185.92307692307688]";"[1251.0]";"[114.38461538461539]";"[396.7692307692306]"
"q29m int#2";"[250.38461538461542]";"[884.0769230769229]";"[93.92307692307689]";"[433.53846153846166]";"[220.84615384615392]";"[1001.0000000000003]";"[108.07692307692308]";"[374.4615384615382]"
"q39m int#3";"[205.00000000000003]";"[1083.0]";"[95.30769230769235]";"[438.00000000000017]";"[271.3076923076923]";"[820.0000000000001]";"[108.84615384615388]";"[438.00000000000017]"
""
""
"k = fase";"1";"2";"3";"4";"5";"6";"7";"8";"Cio";"PHIio"
"m = movimiento";"WBL";"EBT";"NBL";"SBT";"EBL";"WBT";"SBL";"NBT"
"g110m int#1";"[17.0]";"[27.0]";"[5.0]";"[24.0]";"[17.0]";"[27.0]";"[5.0]";"[24.0]";"[65.63231222724008]";"[24.60701973815048]"
"g210m int#2";"[16.0]";"[24.0]";"[6.0]";"[27.0]";"[16.0]";"[24.0]";"[6.0]";"[27.0]";"[65.63231222724008]";"[24.60701973815048]"
"g310m int#3";"[16.0]";"[25.0]";"[6.0]";"[26.0]";"[16.0]";"[25.0]";"[6.0]";"[26.0]";"[65.63231222724008]";"[24.60701973815048]"
"X110m int#1";"[0.7109034611724216]";"[0.37296133486448896]";"[0.7564402087207329]";"[0.7162831992436467]";"[0.4177837192162685]";"[0.6343828312648314]";"[0.8847954477570565]";"[0.611621339717449]"
"X210m int#2";"[0.6032696234707204]";"[0.49851392773245967]";"[0.5966141666317997]";"[0.6003632494616062]";"[0.5262564800489266]";"[0.5706156630299738]";"[0.6950198498929814]";"[0.5119360678157094]"
"X310m int#3";"[0.4936328567938608]";"[0.5856786009935314]";"[0.6046957927933466]";"[0.6286619945137942]";"[0.6462329743148232]";"[0.44833617973628825]";"[0.6988229680866503]";"[0.6286619945137942]"
"S110m int#1";"[1770]";"[4989]";"[1770]";"[1827]";"[1770]";"[4989]";"[1770]";"[1827]"
"S210m int#2";"[1770]";"[4989]";"[1770]";"[1827]";"[1770]";"[4989]";"[1770]";"[1827]"
"S310m int#3";"[1770]";"[4989]";"[1770]";"[1827]";"[1770]";"[4989]";"[1770]";"[1827]"
"q110m int#1";"[325.9230769230769]";"[765.4615384615388]";"[101.99999999999999]";"[478.5384615384615]";"[191.5384615384615]";"[1302.0]";"[119.3076923076923]";"[408.6153846153844]"
"q210m int#2";"[260.3076923076923]";"[909.4615384615382]";"[96.5384615384615]";"[451.2307692307694]";"[227.07692307692318]";"[1041.0000000000005]";"[112.46153846153847]";"[384.76923076923055]"
"q310m int#3";"[213.00000000000003]";"[1113.0]";"[97.8461538461539]";"[455.0000000000002]";"[278.84615384615387]";"[852.0000000000001]";"[113.07692307692312]";"[455.0000000000002]"
""
""
"k = fase";"1";"2";"3";"4";"5";"6";"7";"8";"Cio";"PHIio"
"m = movimiento";"WBL";"EBT";"NBL";"SBT";"EBL";"WBT";"SBL";"NBT"
"g111m int#1";"[17.0]";"[27.0]";"[5.0]";"[24.0]";"[17.0]";"[27.0]";"[5.0]";"[24.0]";"[66.81345375716015]";"[25.740915606873738]"
"g211m int#2";"[16.0]";"[24.0]";"[6.0]";"[27.0]";"[16.0]";"[24.0]";"[6.0]";"[27.0]";"[66.81345375716015]";"[25.740915606873738]"
"g311m int#3";"[16.0]";"[25.0]";"[6.0]";"[26.0]";"[16.0]";"[25.0]";"[6.0]";"[26.0]";"[66.81345375716015]";"[25.740915606873738]"
"X111m int#1";"[0.7520506094352226]";"[0.3907761710411535]";"[0.7927019937290185]";"[0.7590626474172474]";"[0.43777099976890205]";"[0.6710956915097487]";"[0.9378855090640038]";"[0.6406788806026363]"
"X211m int#2";"[0.6375371117147535]";"[0.5216501325420843]";"[0.6238051708893191]";"[0.6351308624878927]";"[0.5504270025137625]";"[0.6032049134052428]";"[0.7351125326461413]";"[0.5351102542220822]"
"X311m int#3";"[0.5213902994467653]";"[0.6122892575220208]";"[0.6315482917071855]";"[0.6638867873643132]";"[0.6756477844901868]";"[0.4735465473748613]";"[0.7380162029528412]";"[0.6638867873643132]"
"S111m int#1";"[1770]";"[4989]";"[1770]";"[1827]";"[1770]";"[4989]";"[1770]";"[1827]"
"S211m int#2";"[1770]";"[4989]";"[1770]";"[1827]";"[1770]";"[4989]";"[1770]";"[1827]"
"S311m int#3";"[1770]";"[4989]";"[1770]";"[1827]";"[1770]";"[4989]";"[1770]";"[1827]"
"q111m int#1";"[338.6923076923076]";"[787.8461538461542]";"[104.99999999999997]";"[498.1538461538461]";"[197.1538461538461]";"[1353.0]";"[124.23076923076923]";"[420.4615384615382]"
"q211m int#2";"[270.2307692307693]";"[934.8461538461536]";"[99.15384615384612]";"[468.9230769230771]";"[233.3076923076924]";"[1081.0000000000005]";"[116.84615384615385]";"[395.0769230769228]"
"q311m int#3";"[221.00000000000003]";"[1143.0]";"[100.38461538461544]";"[472.0000000000002]";"[286.38461538461536]";"[884.0000000000001]";"[117.30769230769235]";"[472.0000000000002]"
""
""
"k = fase";"1";"2";"3";"4";"5";"6";"7";"8";"Cio";"PHIio"
"m = movimiento";"WBL";"EBT";"NBL";"SBT";"EBL";"WBT";"SBL";"NBT"
"g112m int#1";"[17.0]";"[27.0]";"[5.0]";"[24.0]";"[17.0]";"[27.0]";"[5.0]";"[24.0]";"[69.70363200937413]";"[28.51548672899917]"
"g212m int#2";"[16.0]";"[24.0]";"[6.0]";"[27.0]";"[16.0]";"[24.0]";"[6.0]";"[27.0]";"[69.70363200937413]";"[28.51548672899917]"
"g312m int#3";"[16.0]";"[25.0]";"[6.0]";"[26.0]";"[16.0]";"[25.0]";"[6.0]";"[26.0]";"[69.70363200937413]";"[28.51548672899917]"
"X112m int#1";"[0.8141623709661537]";"[0.41926332287427676]";"[0.8506205940127011]";"[0.8230796370943981]";"[0.46971591373753147]";"[0.7265161083358298]";"[1.0172307530963856]";"[0.6872244184327018]"
"X212m int#2";"[0.6895388629349756]";"[0.558992885870079]";"[0.6679552741445889]";"[0.6876048510882207]";"[0.5895727674847653]";"[0.6525837800035782]";"[0.7956897294420805]";"[0.572822884166127]"
"X312m int#3";"[0.5636345949910551]";"[0.6555410731368682]";"[0.675528463193848]";"[0.7175503358297327]";"[0.7234288839304067]";"[0.5119144271043233]";"[0.7977092465218831]";"[0.7175503358297327]"
"S112m int#1";"[1770]";"[4989]";"[1770]";"[1827]";"[1770]";"[4989]";"[1770]";"[1827]"
"S212m int#2";"[1770]";"[4989]";"[1770]";"[1827]";"[1770]";"[4989]";"[1770]";"[1827]"
"S312m int#3";"[1770]";"[4989]";"[1770]";"[1827]";"[1770]";"[4989]";"[1770]";"[1827]"
"q112m int#1";"[351.4615384615384]";"[810.2307692307696]";"[107.99999999999997]";"[517.7692307692307]";"[202.76923076923072]";"[1404.0]";"[129.15384615384616]";"[432.30769230769204]"
"q212m int#2";"[280.1538461538462]";"[960.2307692307689]";"[101.76923076923073]";"[486.6153846153848]";"[239.53846153846166]";"[1121.0000000000005]";"[121.23076923076924]";"[405.38461538461513]"
"q312m int#3";"[229.00000000000006]";"[1173.0000000000002]";"[102.92307692307699]";"[489.0000000000002]";"[293.9230769230769]";"[916.0000000000002]";"[121.53846153846159]";"[489.0000000000002]"
""
""
""
""
""
"SOLUCION [10.0, 0.0]"
"k = fase";"1";"2";"3";"4";"5";"6";"7";"8";"Cio";"PHIio"
"m = movimiento";"WBL";"EBT";"NBL";"SBT";"EBL";"WBT";"SBL";"NBT"
"g11m int#1";"[11.0]";"[17.0]";"[5.0]";"[16.0]";"[11.0]";"[17.0]";"[5.0]";"[16.0]";"[65.0]";"[24.0]"
"g21m int#2";"[10.0]";"[17.0]";"[5.0]";"[17.0]";"[10.0]";"[17.0]";"[5.0]";"[17.0]";"[65.0]";"[24.0]"
"g31m int#3";"[11.0]";"[17.0]";"[5.0]";"[16.0]";"[11.0]";"[17.0]";"[5.0]";"[16.0]";"[65.0]";"[24.0]"
